City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,garachico,28.7781,-17.7646,21.06,73,75,3.6,ES,1717516579
83,akureyri,65.6835,-18.0878,1.96,93,100,11.32,IS,1717516579
84,constantia,44.1833,28.65,24.38,79,68,2.28,RO,1717516579
85,keflavik,64.0049,-22.5624,7.24,61,75,11.83,IS,1717516579
86,dingzhou,38.5131,114.9956,26.06,23,100,2.49,CN,1717516579
87,jamestown,42.097,-79.2353,27.48,58,0,2.24,US,1717516509
88,sinnar,13.5691,33.5672,41.01,16,18,2.04,SD,1717516580
89,arno,60.1167,18.6333,16.73,50,28,4.5,SE,1717516580
90,college,64.8569,-147.8028,14.54,75,40,1.54,US,1717516580
91,pisco,-13.7,-76.2167,17.03,82,100,1.03,PE,1717516580
92,severo-yeniseyskiy,60.3725,93.0408,4.21,61,100,2.68,RU,1717516580
93,nikel,69.4128,30.222,9.1,95,100,3.1,RU,1717516581
94,prince rupert,54.3161,-130.3201,9.05,85,100,13.89,CA,1717516581
95,west island,-12.1568,96.8225,27.99,89,8,4.12,CC,1717516581
96,mossel bay,-34.1831,22.146,16.96,94,100,5.8,ZA,1717516581
97,giulianova,42.7612,13.9537,23.99,74,98,3.64,IT,1717516581
98,namibe,-15.1961,12.1522,20.28,71,31,3.16,AO,1717516581
99,zeya,53.75,127.2667,11.38,60,58,0.65,RU,1717516582
100,velyka lepetykha,47.1757,33.9436,28.39,44,37,5.39,UA,1717516582
101,thinadhoo,0.5333,72.9333,28.76,73,17,2.48,MV,1717516582
102,inhambane,-23.865,35.3833,23.99,73,20,2.24,MZ,1717516582
103,dakoro,14.5106,6.765,40.07,22,2,4.25,NE,1717516583
104,kodiak,57.79,-152.4072,4.73,93,0,1.54,US,1717516583
105,khorinsk,52.1657,109.7726,16.12,34,45,2.1,RU,1717516583
106,bhuban,20.8833,85.8333,31.44,70,39,3.44,IN,1717516583
107,georgetown,5.4112,100.3354,30.97,62,20,2.57,MY,1717516583
108,priyutnoye,46.1011,43.5072,31.45,33,23,2.7,RU,1717516583
109,si bun rueang,16.9667,102.2833,27.42,73,99,1.93,TH,1717516584
110,hadibu,12.65,54.0333,30.0,71,5,7.3,YE,1717516584
111,port alfred,-33.5906,26.891,12.88,97,100,0.45,ZA,1717516584
112,udachny,66.4167,112.4,12.47,49,99,4.59,RU,1717516584
113,belel,7.05,14.4333,26.53,42,49,2.4,CM,1717516584
114,troia,41.3631,15.3124,24.99,39,34,5.33,IT,1717516585
115,chonchi,-42.6128,-73.8092,10.07,96,100,2.22,CL,1717516585
116,kirakira,-10.4544,161.9205,26.04,85,100,1.79,SB,1717516585
117,goma,-1.6792,29.2228,18.52,96,85,0.6,CD,1717516585
118,rongelap,11.1635,166.8941,27.87,83,100,9.65,MH,1717516585
119,ryotsu-minato,38.0833,138.4333,14.2,91,18,1.44,JP,1717516585
120,katsuura,35.1333,140.3,16.91,84,2,7.34,JP,1717516586
121,atafu village,-8.5421,-172.5159,28.27,75,100,2.37,TK,1717516586
122,labuan,5.2767,115.2417,28.2,89,20,0.0,MY,1717516586
123,whitehorse,60.7161,-135.0538,8.78,93,100,1.54,CA,1717516302
124,ola,59.5833,151.2833,3.97,92,100,2.52,RU,1717516586
125,yulinshi,38.2906,109.7494,14.65,82,100,8.08,CN,1717516586
126,port lincoln,-34.7333,135.8667,11.35,84,20,1.82,AU,1717516587
127,umluj,25.0213,37.2685,30.82,53,0,2.95,SA,1717516587
128,lihue,21.9789,-159.3672,23.77,84,100,7.2,US,1717516587
129,ulaangom,49.9811,92.0667,12.59,53,67,1.71,MN,1717516587
130,anadyr,64.75,177.4833,2.28,69,75,7.0,RU,1717516587
131,sao gabriel da cachoeira,-0.1303,-67.0892,27.89,78,40,1.54,BR,1717516588
132,mantyharju,61.4167,26.8833,25.06,38,45,2.97,FI,1717516588
133,kalmunai,7.4167,81.8167,28.01,80,24,8.74,LK,1717516588
134,miyako,39.6367,141.9525,11.5,96,100,2.61,JP,1717516588
135,guaranesia,-21.2992,-46.8025,26.67,27,0,2.4,BR,1717516588
136,hirara,24.8,125.2833,23.92,78,50,3.09,JP,1717516588
137,sterlibashevo,53.4376,55.2578,16.21,84,64,2.62,RU,1717516589
138,kedrovyy,56.1667,91.8167,6.23,98,100,4.01,RU,1717516589
139,mokrous,51.2333,47.5167,23.59,66,99,3.18,RU,1717516589
140,fale old settlement,-9.3852,-171.2468,28.37,74,100,1.82,TK,1717516589
141,hasaki,35.7333,140.8333,16.27,78,84,10.42,JP,1717516589
142,naze,28.3667,129.4833,18.51,74,55,2.88,JP,1717516590
143,tumbi,-5.0667,32.7333,25.16,38,28,2.07,TZ,1717516590
144,iguape,-24.7081,-47.5553,18.21,89,100,4.5,BR,1717516590
145,san bartolo,19.1833,-100.05,24.09,25,2,3.04,MX,1717516590
146,cam pha mines,21.0167,107.3,27.2,89,97,2.67,VN,1717516590
147,gadzhiyevo,69.2551,33.3362,16.63,66,55,2.46,RU,1717516590
148,aasiaat,68.7098,-52.8699,0.09,67,100,3.99,GL,1717516321
149,coahuayana de hidalgo,18.7,-103.6583,30.46,41,11,2.37,MX,1717516591
150,kenai,60.5544,-151.2583,7.86,92,20,3.09,US,1717516591
151,kachug,53.9606,105.8817,13.36,97,94,1.05,RU,1717516591
152,papatowai,-46.5619,169.4708,7.65,71,100,1.88,NZ,1717516591
153,kavaratti,10.5669,72.642,29.18,81,100,5.74,IN,1717516591
154,nemuro,43.3236,145.575,6.28,94,51,2.74,JP,1717516592
155,lompoc,34.6391,-120.4579,26.58,83,40,5.66,US,1717516592
156,nova sintra,14.8667,-24.7167,24.56,79,3,8.55,CV,1717516592
157,zhicheng,30.2956,111.5047,17.13,94,100,1.73,CN,1717516592
158,mar del plata,-38.0023,-57.5575,10.53,67,0,10.29,AR,1717516356
159,almeirim,-1.5233,-52.5817,30.61,61,28,2.58,BR,1717516592
160,sinop,41.7711,34.8709,17.24,61,92,0.95,TR,1717516593
161,arraial do cabo,-22.9661,-42.0278,25.98,78,20,5.14,BR,1717516593
162,iskateley,67.6803,53.1512,6.68,95,98,2.68,RU,1717516593
163,peterhead,57.5058,-1.7981,13.22,58,53,9.27,GB,1717516593
164,thompson,55.7435,-97.8558,8.09,87,100,5.14,CA,1717516310
165,wailua homesteads,22.0669,-159.378,23.44,85,100,7.2,US,1717516593
166,kingston,17.997,-76.7936,31.53,70,20,7.72,JM,1717516442
167,malanje,-9.5402,16.341,27.15,29,57,1.52,AO,1717516594
168,popondetta,-8.7537,148.2534,23.53,96,73,0.92,PG,1717516594
169,bamboo flat,11.7,92.7167,29.05,84,40,3.09,IN,1717516594
170,byron bay,-28.65,153.6167,8.73,77,100,2.23,AU,1717516594
171,kapuskasing,49.4169,-82.4331,24.05,64,75,4.63,CA,1717516595
172,hobyo,5.3505,48.5268,28.05,74,13,12.31,SO,1717516595
173,meizhou,24.2977,116.1072,18.89,98,100,0.94,CN,1717516595
174,chul'man,56.8479,124.9104,9.6,62,62,1.79,RU,1717516595
175,sao joao da barra,-21.6403,-41.0511,28.05,66,0,4.84,BR,1717516595
176,selfoss,63.9331,-20.9971,5.58,55,91,14.9,IS,1717516595
177,vilyuysk,63.7553,121.6247,19.44,37,100,6.26,RU,1717516596
178,dainava (kaunas),54.9152,23.9683,23.71,56,20,2.06,LT,1717516596
179,klyuchi,52.2667,79.1667,10.34,68,79,4.04,RU,1717516596
180,verkhovazh'ye,60.7472,42.0465,22.3,64,23,2.82,RU,1717516596
181,vershino-darasunskiy,52.35,115.5167,13.86,55,9,0.49,RU,1717516596
182,inongo,-1.95,18.2667,24.18,80,93,0.42,CD,1717516596
183,yung shue wan,22.2333,114.1167,24.86,87,100,10.54,HK,1717516597
184,tolanaro,-25.0319,46.9987,23.04,83,40,9.26,MG,1717516597
185,petropavlovsk-kamchatsky,53.0452,158.6483,4.7,87,100,2.68,RU,1717516597
186,nova vicosa,-17.8919,-39.3719,26.63,66,100,3.47,BR,1717516597
187,dien bien phu,21.3833,103.0167,23.61,99,79,0.71,VN,1717516597
188,shahr-e babak,30.1165,55.1186,29.8,9,16,2.89,IR,1717516597
